county_name,Male16 - 19 years In labor force,Male16 - 19 years In labor force Unemployed,Male16 - 19 years In labor force employed,Male20 - 21 years In labor force,Male20 - 21 years In labor force Unemployed,Male20 - 21 years In labor force employed,Male22 - 24 years In labor force,Male22 - 24 years In labor force Unemployed,Male22 - 24 years In labor force employed,Male25 - 29 years In labor force,Male25 - 29 years In labor force Unemployed,Male25 - 29 years In labor force employed,Male30 - 34 years In labor force,Male30 - 34 years In labor force Unemployed,Male30 - 34 years In labor force employed,Male35 - 44 years In labor force,Male35 - 44 years In labor force Unemployed,Male35 - 44 years In labor force employed,Male45 - 54 years In labor force,Male45 - 54 years In labor force Unemployed,Male45 - 54 years In labor force employed,Male55 - 59 years In labor force,Male55 - 59 years In labor force Unemployed,Male55 - 59 years In labor force employed,Male60 - 61 years In labor force,Male60 - 61 years In labor force Unemployed,Male60 - 61 years In labor force employed,Male62 - 64 years In labor force,Male62 - 64 years In labor force Unemployed,Male62 - 64 years In labor force employed,Male65 - 69 years In labor force,Male65 - 69 years In labor force Unemployed,Male65 - 69 years In labor force employed,Male70 - 74 years In labor force,Male70 - 74 years In labor force Unemployed,Male70 - 74 years In labor force employed,Male75 years - over In labor force,Male75 years - over In labor force Unemployed,Male75 years - over In labor force employed,Female16 - 19 years In labor force,Female16 - 19 years In labor force Unemployed,Female16 - 19 years In labor force employed,Female20 - 21 years In labor force,Female20 - 21 years In labor force Unemployed,Female20 - 21 years In labor force employed,Female22 - 24 years In labor force,Female22 - 24 years In labor force Unemployed,Female22 - 24 years In labor force employed,Female25 - 29 years In labor force,Female25 - 29 years In labor force Unemployed,Female25 - 29 years In labor force employed,Female30 - 34 years In labor force,Female30 - 34 years In labor force Unemployed,Female30 - 34 years In labor force employed,Female35 - 44 years In labor force,Female35 - 44 years In labor force Unemployed,Female35 - 44 years In labor force employed,Female45 - 54 years In labor force,Female45 - 54 years In labor force Unemployed,Female45 - 54 years In labor force employed,Female55 - 59 years In labor force,Female55 - 59 years In labor force Unemployed,Female55 - 59 years In labor force employed,Female60 - 61 years In labor force,Female60 - 61 years In labor force Unemployed,Female60 - 61 years In labor force employed,Female62 - 64 years In labor force,Female62 - 64 years In labor force Unemployed,Female62 - 64 years In labor force employed,Female65 - 69 years In labor force,Female65 - 69 years In labor force Unemployed,Female65 - 69 years In labor force employed,Female70 - 74 years In labor force,Female70 - 74 years In labor force Unemployed,Female70 - 74 years In labor force employed,Female75 years - over In labor force,Female75 years - over In labor force Unemployed,Female75 years - over In labor force employed
Vermont - Bennington,401.00,8.00,393.00,281.00,18.00,263.00,679.00,67.00,612.00,833.00,60.00,773.00,714.00,101.00,613.00,1574.00,64.00,1510.00,2135.00,143.00,1992.00,1262.00,52.00,1210.00,372.00,0.00,372.00,439.00,18.00,421.00,490.00,24.00,466.00,176.00,1.00,175.00,232.00,3.00,229.00,452.00,93.00,359.00,385.00,24.00,361.00,368.00,23.00,345.00,606.00,45.00,561.00,722.00,7.00,715.00,1525.00,57.00,1468.00,2244.00,105.00,2139.00,1239.00,31.00,1208.00,460.00,30.00,430.00,403.00,0.00,403.00,401.00,39.00,362.00,290.00,3.00,287.00,105.00,0.00,105.00
Vermont - Caledonia,360.00,35.00,325.00,375.00,51.00,324.00,449.00,65.00,384.00,665.00,22.00,643.00,775.00,163.00,612.00,1445.00,69.00,1376.00,1764.00,75.00,1689.00,921.00,70.00,851.00,375.00,23.00,352.00,339.00,17.00,322.00,377.00,15.00,362.00,162.00,2.00,160.00,94.00,6.00,88.00,385.00,18.00,367.00,329.00,61.00,268.00,340.00,54.00,286.00,547.00,55.00,492.00,679.00,46.00,633.00,1452.00,51.00,1401.00,1636.00,60.00,1576.00,865.00,9.00,856.00,358.00,9.00,349.00,453.00,0.00,453.00,312.00,2.00,310.00,108.00,0.00,108.00,66.00,3.00,63.00
Vermont - Chittenden,2070.00,268.00,1802.00,2595.00,324.00,2271.00,4398.00,323.00,4075.00,5325.00,292.00,5033.00,4847.00,155.00,4692.00,8677.00,286.00,8391.00,9982.00,366.00,9616.00,4455.00,131.00,4324.00,1587.00,49.00,1538.00,1824.00,81.00,1743.00,1613.00,11.00,1602.00,683.00,29.00,654.00,432.00,21.00,411.00,2632.00,379.00,2253.00,2981.00,306.00,2675.00,3979.00,225.00,3754.00,4996.00,241.00,4755.00,4446.00,118.00,4328.00,7548.00,238.00,7310.00,9464.00,222.00,9242.00,4558.00,150.00,4408.00,1486.00,12.00,1474.00,1687.00,39.00,1648.00,1284.00,7.00,1277.00,620.00,8.00,612.00,175.00,0.00,175.00
Vermont - Essex,60.00,15.00,45.00,30.00,4.00,26.00,77.00,26.00,51.00,120.00,16.00,104.00,124.00,7.00,117.00,269.00,11.00,258.00,379.00,9.00,370.00,195.00,9.00,186.00,58.00,2.00,56.00,78.00,4.00,74.00,62.00,3.00,59.00,38.00,1.00,37.00,29.00,0.00,29.00,48.00,20.00,28.00,60.00,20.00,40.00,51.00,3.00,48.00,97.00,3.00,94.00,111.00,22.00,89.00,273.00,5.00,268.00,385.00,7.00,378.00,202.00,8.00,194.00,59.00,8.00,51.00,71.00,5.00,66.00,62.00,0.00,62.00,18.00,3.00,15.00,7.00,0.00,7.00
Vermont - Franklin,626.00,72.00,554.00,521.00,95.00,426.00,739.00,81.00,658.00,1251.00,115.00,1136.00,1376.00,58.00,1318.00,2852.00,70.00,2782.00,3274.00,84.00,3190.00,1539.00,46.00,1493.00,426.00,22.00,404.00,441.00,9.00,432.00,479.00,2.00,477.00,192.00,0.00,192.00,91.00,0.00,91.00,706.00,96.00,610.00,280.00,35.00,245.00,745.00,104.00,641.00,1290.00,125.00,1165.00,1197.00,92.00,1105.00,2812.00,94.00,2718.00,3062.00,87.00,2975.00,1448.00,11.00,1437.00,533.00,41.00,492.00,505.00,9.00,496.00,257.00,3.00,254.00,157.00,0.00,157.00,88.00,0.00,88.00
Vermont - Grand Isle,111.00,41.00,70.00,50.00,4.00,46.00,56.00,9.00,47.00,167.00,3.00,164.00,153.00,13.00,140.00,332.00,19.00,313.00,545.00,24.00,521.00,260.00,10.00,250.00,95.00,10.00,85.00,125.00,2.00,123.00,70.00,7.00,63.00,54.00,0.00,54.00,17.00,0.00,17.00,95.00,11.00,84.00,55.00,10.00,45.00,70.00,6.00,64.00,134.00,6.00,128.00,120.00,7.00,113.00,334.00,23.00,311.00,520.00,24.00,496.00,242.00,8.00,234.00,86.00,0.00,86.00,137.00,4.00,133.00,82.00,0.00,82.00,45.00,0.00,45.00,17.00,0.00,17.00
Vermont - Lamoille,419.00,33.00,386.00,460.00,32.00,428.00,302.00,6.00,296.00,723.00,41.00,682.00,705.00,25.00,680.00,1514.00,41.00,1473.00,1597.00,48.00,1549.00,762.00,23.00,739.00,249.00,26.00,223.00,277.00,18.00,259.00,276.00,9.00,267.00,101.00,2.00,99.00,81.00,0.00,81.00,373.00,4.00,369.00,335.00,0.00,335.00,290.00,44.00,246.00,612.00,10.00,602.00,574.00,44.00,530.00,1306.00,19.00,1287.00,1458.00,67.00,1391.00,711.00,46.00,665.00,221.00,10.00,211.00,301.00,0.00,301.00,210.00,3.00,207.00,112.00,0.00,112.00,8.00,0.00,8.00
Vermont - Orange,356.00,59.00,297.00,237.00,37.00,200.00,395.00,33.00,362.00,649.00,25.00,624.00,717.00,60.00,657.00,1402.00,50.00,1352.00,1846.00,51.00,1795.00,952.00,15.00,937.00,323.00,10.00,313.00,531.00,15.00,516.00,493.00,4.00,489.00,181.00,0.00,181.00,92.00,17.00,75.00,404.00,33.00,371.00,194.00,24.00,170.00,369.00,31.00,338.00,555.00,37.00,518.00,621.00,23.00,598.00,1363.00,44.00,1319.00,1846.00,58.00,1788.00,980.00,43.00,937.00,348.00,14.00,334.00,488.00,0.00,488.00,332.00,2.00,330.00,159.00,0.00,159.00,94.00,2.00,92.00
Vermont - Orleans,264.00,35.00,229.00,195.00,37.00,158.00,336.00,57.00,279.00,553.00,49.00,504.00,631.00,16.00,615.00,1334.00,39.00,1295.00,1444.00,86.00,1358.00,733.00,19.00,714.00,359.00,40.00,319.00,311.00,7.00,304.00,308.00,13.00,295.00,149.00,5.00,144.00,72.00,9.00,63.00,336.00,70.00,266.00,179.00,6.00,173.00,276.00,2.00,274.00,512.00,26.00,486.00,623.00,37.00,586.00,1213.00,48.00,1165.00,1378.00,33.00,1345.00,705.00,8.00,697.00,268.00,8.00,260.00,334.00,16.00,318.00,268.00,4.00,264.00,84.00,2.00,82.00,43.00,1.00,42.00
Vermont - Rutland,736.00,166.00,570.00,583.00,95.00,488.00,746.00,60.00,686.00,1409.00,111.00,1298.00,1388.00,79.00,1309.00,2826.00,136.00,2690.00,3793.00,157.00,3636.00,1977.00,57.00,1920.00,658.00,37.00,621.00,686.00,34.00,652.00,785.00,29.00,756.00,321.00,26.00,295.00,179.00,3.00,176.00,838.00,150.00,688.00,516.00,75.00,441.00,969.00,99.00,870.00,1273.00,26.00,1247.00,1255.00,47.00,1208.00,2552.00,211.00,2341.00,3617.00,82.00,3535.00,2306.00,46.00,2260.00,641.00,13.00,628.00,690.00,13.00,677.00,649.00,2.00,647.00,357.00,0.00,357.00,139.00,3.00,136.00
Vermont - Washington,802.00,128.00,674.00,736.00,21.00,715.00,664.00,90.00,574.00,1393.00,99.00,1294.00,1316.00,37.00,1279.00,3353.00,118.00,3235.00,3760.00,148.00,3612.00,1819.00,62.00,1757.00,719.00,80.00,639.00,945.00,20.00,925.00,727.00,8.00,719.00,340.00,5.00,335.00,252.00,20.00,232.00,747.00,117.00,630.00,519.00,65.00,454.00,768.00,111.00,657.00,1344.00,77.00,1267.00,1446.00,105.00,1341.00,3196.00,40.00,3156.00,3961.00,75.00,3886.00,1959.00,73.00,1886.00,685.00,20.00,665.00,708.00,3.00,705.00,791.00,4.00,787.00,267.00,0.00,267.00,146.00,7.00,139.00
Vermont - Windham,405.00,33.00,372.00,322.00,116.00,206.00,640.00,50.00,590.00,1061.00,115.00,946.00,969.00,109.00,860.00,1967.00,111.00,1856.00,2594.00,133.00,2461.00,1581.00,47.00,1534.00,561.00,29.00,532.00,668.00,21.00,647.00,640.00,33.00,607.00,323.00,16.00,307.00,187.00,0.00,187.00,449.00,51.00,398.00,397.00,64.00,333.00,456.00,55.00,401.00,974.00,82.00,892.00,957.00,12.00,945.00,1957.00,75.00,1882.00,2745.00,93.00,2652.00,1456.00,63.00,1393.00,610.00,35.00,575.00,671.00,12.00,659.00,625.00,67.00,558.00,235.00,2.00,233.00,107.00,0.00,107.00
Vermont - Windsor,698.00,118.00,580.00,486.00,55.00,431.00,613.00,50.00,563.00,1192.00,63.00,1129.00,1325.00,86.00,1239.00,2618.00,31.00,2587.00,3171.00,89.00,3082.00,1809.00,54.00,1755.00,796.00,37.00,759.00,939.00,47.00,892.00,725.00,49.00,676.00,480.00,5.00,475.00,252.00,0.00,252.00,405.00,134.00,271.00,365.00,0.00,365.00,646.00,47.00,599.00,1106.00,47.00,1059.00,1247.00,70.00,1177.00,2564.00,102.00,2462.00,3602.00,137.00,3465.00,2057.00,46.00,2011.00,862.00,79.00,783.00,660.00,0.00,660.00,663.00,5.00,658.00,315.00,0.00,315.00,162.00,0.00,162.00
